member_name,ukparliament_member_id,they_work_for_you_mp_id,party_short_name,party_name,pcon19cd,pcon19nm,ukparliament_pcon_id
Ms Diane Abbott,172,10001,Lab,Labour,E14000720,Hackney North and Stoke Newington,3506
Debbie Abrahams,4212,25034,Lab,Labour,E14000870,Oldham East and Saddleworth,3670
Nigel Adams,4057,24878,Con,Conservative,E14000917,Selby and Ainsty,3720
Bim Afolami,4639,25661,Con,Conservative,E14000749,Hitchin and Harpenden,3535
Adam Afriyie,1586,11929,Con,Conservative,E14001042,Windsor,3855
Nickie Aiken,4741,25817,Con,Conservative,E14000639,Cities of London and Westminster,3415
Peter Aldous,4069,24904,Con,Conservative,E14001022,Waveney,3834
Rushanara Ali,4138,24958,Lab,Labour,E14000555,Bethnal Green and Bow,3320
Tahir Ali,4747,25888,Lab,Labour,E14000562,"Birmingham, Hall Green",3327
Lucy Allan,4411,25337,Con,Conservative,E14000989,Telford,3797
Dr Rosena Allin-Khan,4573,25579,Lab,Labour,E14000998,Tooting,3806
Mike Amesbury,4667,25702,Lab,Labour,E14001024,Weaver Vale,3836
Fleur Anderson,4788,25813,Lab,Labour,E14000887,Putney,3689
Lee Anderson,4743,25894,Con,Conservative,E14000535,Ashfield,3296
Stuart Anderson,4742,25818,Con,Conservative,E14001051,Wolverhampton South West,3864
Stuart Andrew,4032,24864,Con,Conservative,E14000886,Pudsey,3688
Caroline Ansell,4512,25335,Con,Conservative,E14000684,Eastbourne,3467
Tonia Antoniazzi,4623,25634,Lab,Labour,W07000046,Gower,3499
Edward Argar,4362,25396,Con,Conservative,E14000625,Charnwood,3401
Jonathan Ashworth,4244,25120,Lab,Labour (Co-op),E14000783,Leicester South,3571
Sarah Atherton,4855,25810,Con,Conservative,W07000044,Wrexham,3869
Victoria Atkins,4399,25424,Con,Conservative,E14000798,Louth and Horncastle,3587
Gareth Bacon,4798,25750,Con,Conservative,E14000872,Orpington,3672
Mr Richard Bacon,1451,10707,Con,Conservative,E14000941,South Norfolk,3746
Kemi Badenoch,4597,25693,Con,Conservative,E14000910,Saffron Walden,3713
Shaun Bailey,4757,25814,Con,Conservative,E14001030,West Bromwich West,3842
Siobhan Baillie,4847,25838,Con,Conservative,E14000980,Stroud,3786
Duncan Baker,4784,25844,Con,Conservative,E14000848,North Norfolk,3647
Mr Steve Baker,4064,24786,Con,Conservative,E14001056,Wycombe,3870
Harriett Baldwin,4107,24785,Con,Conservative,E14001035,West Worcestershire,3848
Steve Barclay,4095,24916,Con,Conservative,E14000842,North East Cambridgeshire,3641
