member_name,ukparliament_member_id,they_work_for_you_mp_id,party_short_name,party_name,pcon19cd,pcon19nm,ukparliament_pcon_id
Hannah Bardell,4486,25409,SNP,Scottish National Party,S14000044,Livingston,1826
Paula Barker,4828,25819,Lab,Labour,E14000795,"Liverpool, Wavertree",3583
Mr John Baron,1390,10715,Con,Conservative,E14000544,Basildon and Billericay,3305
Simon Baynes,4800,25799,Con,Conservative,W07000062,Clwyd South,3420
Margaret Beckett,328,10031,Lab,Labour,E14000663,Derby South,3443
Órfhlaith Begley,4697,25726,SF,Sinn Féin,N06000018,West Tyrone,3847
Apsana Begum,4790,25914,Lab,Labour,E14000882,Poplar and Limehouse,3683
Aaron Bell,4837,25916,Con,Conservative,E14000834,Newcastle-under-Lyme,3628
Hilary Benn,413,10669,Lab,Labour,E14000777,Leeds Central,3565
Scott Benton,4793,25800,Con,Conservative,E14000573,Blackpool South,3338
Sir Paul Beresford,103,10041,Con,Conservative,E14000824,Mole Valley,3615
Jake Berry,4060,24860,Con,Conservative,E14000902,Rossendale and Darwen,3705
Mr Clive Betts,394,10045,Lab,Labour,E14000920,Sheffield South East,3723
Saqib Bhatti,4818,25847,Con,Conservative,E14000812,Meriden,3601
Mhairi Black,4421,25269,SNP,Scottish National Party,S14000053,Paisley and Renfrewshire South,2286
Ian Blackford,4390,25361,SNP,Scottish National Party,S14000055,"Ross, Skye and Lochaber",2456
Bob Blackman,4005,24945,Con,Conservative,E14000731,Harrow East,3517
Kirsty Blackman,4357,25314,SNP,Scottish National Party,S14000001,Aberdeen North,14
Olivia Blake,4864,25908,Lab,Labour,E14000922,"Sheffield, Hallam",3725
Paul Blomfield,4058,24943,Lab,Labour,E14000919,Sheffield Central,3722
Crispin Blunt,104,10051,Con,Conservative,E14000893,Reigate,3695
Mr Peter Bone,1581,11915,Con,Conservative,E14001025,Wellingborough,3837
Steven Bonnar,4748,25861,SNP,Scottish National Party,S14000011,"Coatbridge, Chryston and Bellshill",728
Sir Peter Bottomley,117,10057,Con,Conservative,E14001055,Worthing West,3868
Andrew Bowie,4601,25703,Con,Conservative,S14000058,West Aberdeenshire and Kincardine,3096
Ben Bradley,4663,25683,Con,Conservative,E14000810,Mansfield,3599
Karen Bradley,4110,24725,Con,Conservative,E14000966,Staffordshire Moorlands,3771
Mr Ben Bradshaw,230,10061,Lab,Labour,E14000698,Exeter,3481
Sir Graham Brady,435,10062,Con,Conservative,E14000532,Altrincham and Sale West,3291
Mickey Brady,4373,13893,SF,Sinn Féin,N06000011,Newry and Armagh,3631
Suella Braverman,4475,25272,Con,Conservative,E14000699,Fareham,3482
Kevin Brennan,1400,10753,Lab,Labour,W07000079,Cardiff West,3392
Jack Brereton,4643,25698,Con,Conservative,E14000974,Stoke-on-Trent South,3779
Andrew Bridgen,4133,24741,Con,Conservative,E14000858,North West Leicestershire,3657
Steve Brine,4067,24901,Con,Conservative,E14001041,Winchester,3854
Paul Bristow,4792,25795,Con,Conservative,E14000878,Peterborough,3678
Sara Britcliffe,4838,25876,Con,Conservative,E14000758,Hyndburn,3544
Deidre Brock,4417,25336,SNP,Scottish National Party,S14000023,Edinburgh North and Leith,1041
Alan Brown,4470,25268,SNP,Scottish National Party,S14000040,Kilmarnock and Loudoun,1624
Ms Lyn Brown,1583,11921,Lab,Labour,E14001032,West Ham,3844
Mr Nicholas Brown,523,10069,Lab,Labour,E14000832,Newcastle upon Tyne East,3626
Anthony Browne,4801,25850,Con,Conservative,E14000934,South Cambridgeshire,3738
Fiona Bruce,3958,24857,Con,Conservative,E14000646,Congleton,3424
Chris Bryant,1446,10761,Lab,Labour,W07000052,Rhondda,3696
Felicity Buchan,4821,25891,Con,Conservative,E14000768,Kensington,3555
Ms Karen Buck,199,10075,Lab,Labour,E14001036,Westminster North,3849
Sir Robert Buckland,4106,24843,Con,Conservative,E14000947,South Swindon,3752
Alex Burghart,4613,25659,Con,Conservative,E14000594,Brentwood and Ongar,3361
Richard Burgon,4493,25391,Lab,Labour,E14000778,Leeds East,3566
Conor Burns,3922,24780,Con,Conservative,E14000585,Bournemouth West,3351
Dawn Butler,1489,11447,Lab,Labour,E14000591,Brent Central,3358
Rob Butler,4745,25895,Con,Conservative,E14000538,Aylesbury,3299
Ian Byrne,4831,25816,Lab,Labour,E14000796,"Liverpool, West Derby",3584
Liam Byrne,1171,11360,Lab,Labour,E14000563,"Birmingham, Hodge Hill",3328
Ruth Cadbury,4389,25343,Lab,Labour,E14000593,Brentford and Isleworth,3360
Alun Cairns,4086,24740,Con,Conservative,W07000078,Vale of Glamorgan,3819
Amy Callaghan,4770,25863,SNP,Scottish National Party,S14000018,East Dunbartonshire,965
Dr Lisa Cameron,4412,25276,SNP,Scottish National Party,S14000019,"East Kilbride, Strathaven and Lesmahagow",985
Sir Alan Campbell,529,10086,Lab,Labour,E14001006,Tynemouth,3815
Mr Gregory Campbell,1409,10780,DUP,Democratic Unionist Party,N06000006,East Londonderry,3463
Dan Carden,4651,25642,Lab,Labour,E14000794,"Liverpool, Walton",3582
Mr Alistair Carmichael,1442,10785,LD,Liberal Democrat,S14000051,Orkney and Shetland,2256
Andy Carter,4791,25884,Con,Conservative,E14001018,Warrington South,3830
James Cartlidge,4519,25414,Con,Conservative,E14000946,South Suffolk,3751
Sir William Cash,288,10095,Con,Conservative,E14000975,Stone,3780
Miriam Cates,4865,25897,Con,Conservative,E14000876,Penistone and Stocksbridge,3676
Maria Caulfield,4492,25397,Con,Conservative,E14000786,Lewes,3574
Alex Chalk,4481,25340,Con,Conservative,E14000630,Cheltenham,3406
Wendy Chamberlain,4765,25872,LD,Liberal Democrat,S14000049,North East Fife,2135
Sarah Champion,4267,25168,Lab,Labour,E14000904,Rotherham,3707
Douglas Chapman,4402,25305,SNP,Scottish National Party,S14000017,Dunfermline and West Fife,929
Bambos Charalambous,4610,25676,Lab,Labour,E14000692,"Enfield, Southgate",3475
Joanna Cherry,4419,25404,SNP,Scottish National Party,S14000025,Edinburgh South West,1048
Rehman Chishti,3987,24920,Con,Conservative,E14000711,Gillingham and Rainham,3496
Sir Christopher Chope,242,10103,Con,Conservative,E14000638,Christchurch,3414
Jo Churchill,4380,25408,Con,Conservative,E14000613,Bury St Edmunds,3381
Feryal Clark,4822,25896,Lab,Labour,E14000691,Enfield North,3474
Greg Clark,1578,11884,Con,Conservative,E14001004,Tunbridge Wells,3813
Mr Simon Clarke,4655,25657,Con,Conservative,E14000820,Middlesbrough South and East Cleveland,3611
Theo Clarke,4819,25900,Con,Conservative,E14000965,Stafford,3770
Brendan Clarke-Smith,4756,25862,Con,Conservative,E14000546,Bassetlaw,3307
Chris Clarkson,4835,25825,Con,Conservative,E14000747,Heywood and Middleton,3533
James Cleverly,4366,25376,Con,Conservative,E14000590,Braintree,3356
Sir Geoffrey Clifton-Brown,249,10119,Con,Conservative,E14000991,The Cotswolds,3799
Dr Thérèse Coffey,4098,24771,Con,Conservative,E14000981,Suffolk Coastal,3787
Elliot Colburn,4775,25907,Con,Conservative,E14000621,Carshalton and Wallington,3396
Damian Collins,3986,24744,Con,Conservative,E14000704,Folkestone and Hythe,3488
Daisy Cooper,4769,25901,LD,Liberal Democrat,E14000960,St Albans,3765
Rosie Cooper,1538,11667,Lab,Labour,E14001033,West Lancashire,3845
Yvette Cooper,420,10131,Lab,Labour,E14000836,"Normanton, Pontefract and Castleford",3633
Jeremy Corbyn,185,10133,Ind,Independent,E14000763,Islington North,3549
Alberto Costa,4439,25413,Con,Conservative,E14000940,South Leicestershire,3745
Robert Courts,4589,25593,Con,Conservative,E14001046,Witney,3859
Claire Coutinho,4806,25890,Con,Conservative,E14000681,East Surrey,3464
Ronnie Cowan,4465,25288,SNP,Scottish National Party,S14000038,Inverclyde,1555
Sir Geoffrey Cox,1508,11541,Con,Conservative,E14001000,Torridge and West Devon,3809
Neil Coyle,4368,25326,Ind,Independent,E14000553,Bermondsey and Old Southwark,3318
Stephen Crabb,1554,11768,Con,Conservative,W07000065,Preseli Pembrokeshire,3686
Angela Crawley,4469,25295,SNP,Scottish National Party,S14000042,Lanark and Hamilton East,1678
Stella Creasy,4088,24949,Lab,Labour (Co-op),E14001013,Walthamstow,3825
Virginia Crosbie,4859,25843,Con,Conservative,W07000041,Ynys Mon,3875
Tracey Crouch,3950,24871,Con,Conservative,E14000626,Chatham and Aylesford,3402
Jon Cruddas,1406,10828,Lab,Labour,E14000657,Dagenham and Rainham,3436
John Cryer,181,10143,Lab,Labour,E14000790,Leyton and Wanstead,3578
Judith Cummins,4391,25393,Lab,Labour,E14000588,Bradford South,3354
Alex Cunningham,4122,24742,Lab,Labour,E14000970,Stockton North,3775
Janet Daby,4698,25727,Lab,Labour,E14000787,Lewisham East,3575
James Daly,4854,25905,Con,Conservative,E14000611,Bury North,3379
Ed Davey,188,10155,LD,Liberal Democrat,E14000770,Kingston and Surbiton,3557
Wayne David,1398,10842,Lab,Labour,W07000076,Caerphilly,3382
David T C Davies,1545,11719,Con,Conservative,W07000054,Monmouth,3616
Gareth Davies,4850,25858,Con,Conservative,E14000714,Grantham and Stamford,3500
Geraint Davies,155,10159,Lab,Labour (Co-op),W07000047,Swansea West,3793
Dr James Davies,4476,25292,Con,Conservative,W07000060,Vale of Clwyd,3818
Mims Davies,4513,25330,Con,Conservative,E14000817,Mid Sussex,3607
Philip Davies,1565,11816,Con,Conservative,E14000925,Shipley,3728
Alex Davies-Jones,4849,25824,Lab,Labour,W07000075,Pontypridd,3681
Mr David Davis,373,10162,Con,Conservative,E14000724,Haltemprice and Howden,3510
Dehenna Davison,4737,25815,Con,Conservative,E14000569,Bishop Auckland,3334
Martyn Day,4488,25307,SNP,Scottish National Party,S14000043,Linlithgow and East Falkirk,1782
Marsha De Cordova,4676,25620,Lab,Labour,E14000549,Battersea,3310
Thangam Debbonaire,4433,25402,Lab,Labour,E14000602,Bristol West,3370
Mr Tanmanjeet Singh Dhesi,4638,25695,Lab,Labour,E14000930,Slough,3733
Dame Caroline Dinenage,4008,24873,Con,Conservative,E14000713,Gosport,3498
Miss Sarah Dines,4816,25877,Con,Conservative,E14000664,Derbyshire Dales,3444
Mr Jonathan Djanogly,1425,10854,Con,Conservative,E14000757,Huntingdon,3543
Leo Docherty,4600,25628,Con,Conservative,E14000530,Aldershot,3289
Martin Docherty-Hughes,4374,25275,SNP,Scottish National Party,S14000059,West Dunbartonshire,3117
Anneliese Dodds,4657,25618,Lab,Labour (Co-op),E14000873,Oxford East,3673
Sir Jeffrey M Donaldson,650,10172,DUP,Democratic Unionist Party,N06000009,Lagan Valley,3563
Michelle Donelan,4530,25316,Con,Conservative,E14000635,Chippenham,3411
Dave Doogan,4736,25796,SNP,Scottish National Party,S14000004,Angus,59
Allan Dorans,4740,25870,SNP,Scottish National Party,S14000006,"Ayr, Carrick and Cumnock",99
Ms Nadine Dorries,1481,11397,Con,Conservative,E14000813,Mid Bedfordshire,3603
Steve Double,4452,25410,Con,Conservative,E14000961,St Austell and Newquay,3766
Stephen Doughty,4264,25166,Lab,Labour (Co-op),W07000080,Cardiff South and Penarth,3391
Peter Dowd,4397,25309,Lab,Labour,E14000581,Bootle,3347
Oliver Dowden,4441,25323,Con,Conservative,E14000745,Hertsmere,3531
Jackie Doyle-Price,4065,24957,Con,Conservative,E14000995,Thurrock,3803
Richard Drax,4132,24903,Con,Conservative,E14000936,South Dorset,3740
Mrs Flick Drummond,4459,25392,Con,Conservative,E14000811,Meon Valley,3600
James Duddridge,1559,11785,Con,Conservative,E14000899,Rochford and Southend East,3702
Rosie Duffield,4616,25656,Lab,Labour,E14000619,Canterbury,3388
David Duguid,4606,25664,Con,Conservative,S14000007,Banff and Buchan,110
Sir Iain Duncan Smith,152,10180,Con,Conservative,E14000634,Chingford and Woodford Green,3410
Philip Dunne,1542,11696,Con,Conservative,E14000799,Ludlow,3588
Dame Angela Eagle,491,10182,Lab,Labour,E14001010,Wallasey,3822
Maria Eagle,483,10183,Lab,Labour,E14000708,Garston and Halewood,3493
Colum Eastwood,4846,25130,SDLP,Social Democratic & Labour Party,N06000008,Foyle,3490
Mark Eastwood,4807,25923,Con,Conservative,E14000666,Dewsbury,3446
Jonathan Edwards,3943,24743,Ind,Independent,W07000067,Carmarthen East and Dinefwr,3394
Ruth Edwards,4808,25854,Con,Conservative,E14000908,Rushcliffe,3711
Clive Efford,165,10185,Lab,Labour,E14000690,Eltham,3473
Julie Elliott,4127,24710,Lab,Labour,E14000982,Sunderland Central,3788
Michael Ellis,4116,24866,Con,Conservative,E14000861,Northampton North,3660
Mr Tobias Ellwood,1487,11437,Ind,Independent,E14000584,Bournemouth East,3350
Chris Elmore,4572,25490,Lab,Labour,W07000074,Ogmore,3668
Mrs Natalie Elphicke,4795,25831,Con,Conservative,E14000670,Dover,3450
Florence Eshalomi,4870,25759,Lab,Labour (Co-op),E14001008,Vauxhall,3820
Bill Esterson,4061,24905,Lab,Labour,E14000916,Sefton Central,3719
George Eustice,3934,24933,Con,Conservative,E14000616,Camborne and Redruth,3385
Chris Evans,4040,24721,Lab,Labour (Co-op),W07000077,Islwyn,3551
Dr Luke Evans,4781,25805,Con,Conservative,E14000583,Bosworth,3349
Mr Nigel Evans,474,10190,Con,Conservative,E14000894,Ribble Valley,3697
Sir David Evennett,1198,11408,Con,Conservative,E14000558,Bexleyheath and Crayford,3323
Ben Everitt,4836,25910,Con,Conservative,E14000821,Milton Keynes North,3612
Michael Fabricant,280,10193,Con,Conservative,E14000791,Lichfield,3579
Laura Farris,4826,25835,Con,Conservative,E14000830,Newbury,3624
Tim Farron,1591,11923,LD,Liberal Democrat,E14001037,Westmorland and Lonsdale,3850
Stephen Farry,4856,13899,Alliance,Alliance,N06000013,North Down,3638
Simon Fell,4744,25869,Con,Conservative,E14000543,Barrow and Furness,3304
Marion Fellows,4440,25277,SNP,Scottish National Party,S14000047,Motherwell and Wishaw,2022
Margaret Ferrier,4386,25287,Ind,Independent,S14000056,Rutherglen and Hamilton West,2501
John Finucane,4823,25821,SF,Sinn Féin,N06000002,Belfast North,3315
Anna Firth,4936,26059,Con,Conservative,E14000957,Southend West,3762
Colleen Fletcher,4378,25319,Lab,Labour,E14000649,Coventry North East,3427
Katherine Fletcher,4834,25830,Con,Conservative,E14000943,South Ribble,3748
Mark Fletcher,4774,25903,Con,Conservative,E14000577,Bolsover,3343
Nick Fletcher,4832,25859,Con,Conservative,E14000667,Don Valley,3447
Stephen Flynn,4735,25867,SNP,Scottish National Party,S14000002,Aberdeen South,20
Richard Foord,4942,26086,LD,Liberal Democrat,E14000996,Tiverton and Honiton,3804
Vicky Ford,4674,25614,Con,Conservative,E14000628,Chelmsford,3404
Kevin Foster,4451,25338,Con,Conservative,E14000999,Torbay,3807
Yvonne Fovargue,4034,24805,Lab,Labour,E14000805,Makerfield,3594
Dr Liam Fox,223,10213,Con,Conservative,E14000850,North Somerset,3649
Vicky Foxcroft,4491,25380,Lab,Labour,E14000789,"Lewisham, Deptford",3577
Mary Kelly Foy,4753,25833,Lab,Labour,E14000641,City of Durham,3417
Mr Mark Francois,1444,10901,Con,Conservative,E14000888,Rayleigh and Wickford,3690
Lucy Frazer,4517,25399,Con,Conservative,E14000937,South East Cambridgeshire,3742
George Freeman,4020,24817,Con,Conservative,E14000816,Mid Norfolk,3606
Mike Freer,4004,24934,Con,Conservative,E14000703,Finchley and Golders Green,3487
Mr Louie French,4932,26055,Con,Conservative,E14000869,Old Bexley and Sidcup,3669
Richard Fuller,3912,24787,Con,Conservative,E14000841,North East Bedfordshire,3640
Gill Furniss,4571,25489,Lab,Labour,E14000921,"Sheffield, Brightside and Hillsborough",3724
Mr Marcus Fysh,4446,25384,Con,Conservative,E14001060,Yeovil,3874
Sir Roger Gale,87,10217,Con,Conservative,E14000852,North Thanet,3651
Barry Gardiner,146,10220,Lab,Labour,E14000592,Brent North,3359
Mark Garnier,4074,24824,Con,Conservative,E14001058,Wyre Forest,3872
Ms Nusrat Ghani,4460,25354,Con,Conservative,E14001023,Wealden,3835
Nick Gibb,111,10225,Con,Conservative,E14000576,Bognor Regis and Littlehampton,3342
Patricia Gibson,4435,25300,SNP,Scottish National Party,S14000048,North Ayrshire and Arran,2104
Peter Gibson,4754,25793,Con,Conservative,E14000658,Darlington,3437
Jo Gideon,4817,25882,Con,Conservative,E14000972,Stoke-on-Trent Central,3777
Michelle Gildernew,1416,10913,SF,Sinn Féin,N06000007,Fermanagh and South Tyrone,3485
Preet Kaur Gill,4603,25666,Lab,Labour (Co-op),E14000560,"Birmingham, Edgbaston",3325
Paul Girvan,4633,25629,DUP,Democratic Unionist Party,N06000014,South Antrim,3736
John Glen,4051,24839,Con,Conservative,E14000912,Salisbury,3715
Mary Glindon,4126,24927,Lab,Labour,E14000853,North Tyneside,3652
Sir Robert Goodwill,1562,11804,Con,Conservative,E14000913,Scarborough and Whitby,3716
Michael Gove,1571,11858,Con,Conservative,E14000983,Surrey Heath,3789
Patrick Grady,4432,25299,Ind,Independent,S14000031,Glasgow North,1205
Richard Graham,3990,24921,Con,Conservative,E14000712,Gloucester,3497
Mrs Helen Grant,4018,24796,Con,Conservative,E14000804,Maidstone and The Weald,3593
Peter Grant,4466,25273,SNP,Scottish National Party,S14000036,Glenrothes,1274
James Gray,261,10240,Con,Conservative,E14000860,North Wiltshire,3659
Chris Grayling,1413,10920,Con,Conservative,E14000694,Epsom and Ewell,3477
Chris Green,4398,25359,Con,Conservative,E14000580,Bolton West,3346
Damian Green,76,10241,Con,Conservative,E14000536,Ashford,3297
Kate Green,4120,24896,Lab,Labour,E14000979,Stretford and Urmston,3785
Sarah Green,4918,26034,LD,Liberal Democrat,E14000631,Chesham and Amersham,3407
Lilian Greenwood,4029,24774,Lab,Labour,E14000867,Nottingham South,3666
Margaret Greenwood,4400,25349,Lab,Labour,E14001044,Wirral West,3857
Andrew Griffith,4874,25927,Con,Conservative,E14000534,Arundel and South Downs,3295
Dame Nia Griffith,1541,11692,Lab,Labour,W07000045,Llanelli,3585
Kate Griffiths,4773,25839,Con,Conservative,E14000610,Burton,3378
James Grundy,4843,25812,Con,Conservative,E14000785,Leigh,3573
Jonathan Gullis,4814,25898,Con,Conservative,E14000973,Stoke-on-Trent North,3778
Andrew Gwynne,1506,11531,Lab,Labour,E14000661,Denton and Reddish,3441
Louise Haigh,4473,25357,Lab,Labour,E14000923,"Sheffield, Heeley",3726
Robert Halfon,3985,24784,Con,Conservative,E14000729,Harlow,3515
Luke Hall,4450,25373,Con,Conservative,E14000994,Thornbury and Yate,3802
Fabian Hamilton,415,10256,Lab,Labour,E14000779,Leeds North East,3567
Mrs Paulette Hamilton,4938,26061,Lab,Labour,E14000561,"Birmingham, Erdington",3326
Stephen Hammond,1585,11927,Con,Conservative,E14001040,Wimbledon,3853
Matt Hancock,4070,24773,Con,Conservative,E14001034,West Suffolk,3846
Greg Hands,1526,11610,Con,Conservative,E14000629,Chelsea and Fulham,3405
Claire Hanna,4827,25447,SDLP,Social Democratic & Labour Party,N06000003,Belfast South,3316
Neale Hanvey,4782,25873,Alba,Alba Party,S14000041,Kirkcaldy and Cowdenbeath,1661
Emma Hardy,4645,25646,Lab,Labour,E14000773,Kingston upon Hull West and Hessle,3560
Ms Harriet Harman,150,10260,Lab,Labour,E14000615,Camberwell and Peckham,3384
Mr Mark Harper,1520,11588,Con,Conservative,E14000705,Forest of Dean,3489
Carolyn Harris,4480,25308,Lab,Labour,W07000048,Swansea East,3792
Rebecca Harris,3948,24731,Con,Conservative,E14000622,Castle Point,3397
Trudy Harrison,4593,25600,Con,Conservative,E14000647,Copeland,3425
Sally-Ann Hart,4842,25902,Con,Conservative,E14000735,Hastings and Rye,3521
Simon Hart,3944,24813,Con,Conservative,W07000066,Carmarthen West and South Pembrokeshire,3395
Helen Hayes,4510,25310,Lab,Labour,E14000673,Dulwich and West Norwood,3453
Sir John Hayes,350,10265,Con,Conservative,E14000939,South Holland and The Deepings,3744
Chris Hazzard,4636,25154,SF,Sinn Féin,N06000015,South Down,3741
Sir Oliver Heald,69,10267,Con,Conservative,E14000845,North East Hertfordshire,3644
John Healey,400,10268,Lab,Labour,E14001028,Wentworth and Dearne,3840
James Heappey,4528,25438,Con,Conservative,E14001026,Wells,3838
Chris Heaton-Harris,3977,24841,Con,Conservative,E14000660,Daventry,3439
Gordon Henderson,4050,24828,Con,Conservative,E14000927,Sittingbourne and Sheppey,3730
Sir Mark Hendrick,473,10682,Lab,Labour (Co-op),E14000885,Preston,3687
Drew Hendry,4467,25382,SNP,Scottish National Party,S14000039,"Inverness, Nairn, Badenoch and Strathspey",1561
Darren Henry,4794,25871,Con,Conservative,E14000607,Broxtowe,3375
Antony Higginbotham,4833,25842,Con,Conservative,E14000609,Burnley,3377
Dame Meg Hillier,1524,11605,Lab,Labour (Co-op),E14000721,Hackney South and Shoreditch,3507
Damian Hinds,3969,24782,Con,Conservative,E14000680,East Hampshire,3462
Simon Hoare,4494,25427,Con,Conservative,E14000839,North Dorset,3637
Wera Hobhouse,4602,25648,LD,Liberal Democrat,E14000547,Bath,3308
Dame Margaret Hodge,140,10281,Lab,Labour,E14000540,Barking,3301
Mrs Sharon Hodgson,1521,11592,Lab,Labour,E14001020,Washington and Sunderland West,3832
Mr Richard Holden,4813,25893,Con,Conservative,E14000856,North West Durham,3655
Kate Hollern,4363,25298,Lab,Labour,E14000570,Blackburn,3335
Kevin Hollinrake,4474,25415,Con,Conservative,E14000993,Thirsk and Malton,3801
Mr Philip Hollobone,1537,11661,Con,Conservative,E14000769,Kettering,3556
Adam Holloway,1522,11599,Con,Conservative,E14000715,Gravesham,3501
Paul Holmes,4803,25808,Con,Conservative,E14000685,Eastleigh,3468
Rachel Hopkins,4873,25809,Lab,Labour,E14000801,Luton South,3590
Stewart Hosie,1514,11973,SNP,Scottish National Party,S14000015,Dundee East,922
Sir George Howarth,481,10292,Lab,Labour,E14000775,Knowsley,3562
John Howell,1606,14131,Con,Conservative,E14000742,Henley,3528
Paul Howell,4830,25855,Con,Conservative,E14000915,Sedgefield,3718
Sir Lindsay Hoyle,467,10295,Spk,Speaker,E14000637,Chorley,3413
Nigel Huddleston,4407,25381,Con,Conservative,E14000818,Mid Worcestershire,3609
Dr Neil Hudson,4853,25875,Con,Conservative,E14000877,Penrith and The Border,3677
Eddie Hughes,4635,25699,Con,Conservative,E14001011,Walsall North,3823
Jane Hunt,4839,25921,Con,Conservative,E14000797,Loughborough,3586
Jeremy Hunt,1572,11859,Con,Conservative,E14000953,South West Surrey,3758
Tom Hunt,4771,25811,Con,Conservative,E14000761,Ipswich,3547
Dr Rupa Huq,4511,25284,Lab,Labour,E14000674,Ealing Central and Acton,3455
Imran Hussain,4394,25375,Lab,Labour,E14000587,Bradford East,3353
Mr Alister Jack,4619,25674,Con,Conservative,S14000013,Dumfries and Galloway,911
Christine Jardine,4634,25675,LD,Liberal Democrat,S14000026,Edinburgh West,1054
Dan Jarvis,4243,25067,Lab,Labour,E14000541,Barnsley Central,3302
Sajid Javid,3945,24854,Con,Conservative,E14000605,Bromsgrove,3373
Mr Ranil Jayawardena,4498,25419,Con,Conservative,E14000844,North East Hampshire,3643
Sir Bernard Jenkin,40,10312,Con,Conservative,E14000734,Harwich and North Essex,3520
Mark Jenkinson,4752,25792,Con,Conservative,E14001053,Workington,3866
Andrea Jenkyns,4490,25431,Con,Conservative,E14000826,Morley and Outwood,3619
Robert Jenrick,4320,25227,Con,Conservative,E14000829,Newark,3623
Boris Johnson,1423,10999,Con,Conservative,E14001007,Uxbridge and South Ruislip,3817
Dr Caroline Johnson,4592,25597,Con,Conservative,E14000929,Sleaford and North Hykeham,3732
Dame Diana Johnson,1533,11647,Lab,Labour,E14000772,Kingston upon Hull North,3559
Gareth Johnson,3970,24803,Con,Conservative,E14000659,Dartford,3438
Kim Johnson,4824,25803,Lab,Labour,E14000793,"Liverpool, Riverside",3581
David Johnston,4761,25924,Con,Conservative,E14001015,Wantage,3827
Andrew Jones,3996,24758,Con,Conservative,E14000730,Harrogate and Knaresborough,3516
Darren Jones,4621,25637,Lab,Labour,E14000600,Bristol North West,3368
Mr David Jones,1502,11506,Con,Conservative,W07000059,Clwyd West,3421
Fay Jones,4763,25881,Con,Conservative,W07000068,Brecon and Radnorshire,3357
Gerald Jones,4501,25289,Lab,Labour,W07000071,Merthyr Tydfil and Rhymney,3602
Mr Kevan Jones,1438,11003,Lab,Labour,E14000840,North Durham,3639
Mr Marcus Jones,4024,24745,Con,Conservative,E14000868,Nuneaton,3667
Ruth Jones,4716,25746,Lab,Labour,W07000056,Newport West,3630
Sarah Jones,4631,25673,Lab,Labour,E14000654,Croydon Central,3432
Simon Jupp,4862,25911,Con,Conservative,E14000678,East Devon,3460
Mike Kane,4316,25220,Lab,Labour,E14001059,Wythenshawe and Sale East,3873
Daniel Kawczynski,1566,11817,Con,Conservative,E14000926,Shrewsbury and Atcham,3729
Alicia Kearns,4805,25906,Con,Conservative,E14000909,Rutland and Melton,3712
Gillian Keegan,4680,25670,Con,Conservative,E14000633,Chichester,3409
Barbara Keeley,1588,11943,Lab,Labour,E14001054,Worsley and Eccles South,3867
Liz Kendall,4026,24816,Lab,Labour,E14000784,Leicester West,3572
